iteration,accuracy,mean_C,mean_gamma
1,0.9,1,0.031622777
1,0.916666667,1,0.031622777
1,0.9,1,0.031622777
1,0.883333333,1,0.031622777
1,0.9,1,0.031622777
1,0.9,1,0.031622777
1,0.883333333,1,0.031622777
1,0.883333333,1,0.031622777
1,0.883333333,1,0.031622777
1,0.883333333,1,0.031622777
1,0.883333333,1,0.031622777
1,0.85,1,0.031622777
1,0.866666667,1,0.031622777
1,0.9,1,0.031622777
1,0.883333333,1,0.031622777
1,0.9,1,0.031622777
1,0.9,1,0.031622777
1,0.883333333,1,0.031622777
1,0.9,1,0.031622777
1,0.866666667,1,0.031622777
1,0.883333333,7.12455532,0.031622777
1,0.9,1,0.031622777
1,0.866666667,1,0.031622777
1,0.9,1,0.031622777
1,0.883333333,1,0.031622777
1,0.866666667,1,0.031622777
1,0.883333333,1,0.031622777
1,0.883333333,1,0.031622777
1,0.883333333,1,0.031622777
1,0.866666667,1,0.031622777
1,0.9,1,0.031622777
1,0.883333333,1,0.031622777
1,0.85,1,0.031622777
1,0.883333333,1,0.031622777
1,0.883333333,1,0.031622777
1,0.883333333,1,0.031622777
1,0.866666667,1,0.031622777
1,0.883333333,7.12455532,0.031622777
1,0.883333333,1,0.031622777
1,0.883333333,7.12455532,0.031622777
1,0.9,1,0.031622777
1,0.883333333,1,0.031622777
1,0.9,1,0.031622777
1,0.883333333,7.12455532,0.031622777
1,0.883333333,1,0.031622777
1,0.9,1,0.031622777
1,0.883333333,1,0.031622777
1,0.9,7.12455532,0.031622777
1,0.916666667,1,0.031622777
1,0.9,1,0.031622777
1,0.9,1,0.031622777
1,0.9,7.12455532,0.031622777
1,0.9,1,0.031622777
1,0.9,1,0.031622777
1,0.883333333,7.12455532,0.031622777
1,0.9,1,0.031622777
1,0.9,1,0.031622777
1,0.9,1,0.031622777
1,0.9,1,0.031622777
1,0.883333333,1,0.031622777
1,0.9,1,0.031622777
1,0.9,1,0.031622777
1,0.866666667,1,0.031622777
1,0.9,1,0.031622777
1,0.9,1,0.031622777
1,0.9,1,0.031622777
1,0.883333333,1,0.031622777
1,0.9,1,0.031622777
1,0.883333333,7.12455532,0.031622777
1,0.916666667,1,0.031622777
1,0.883333333,1,0.031622777
1,0.883333333,7.12455532,0.031622777
1,0.9,7.12455532,0.031622777
1,0.883333333,1,0.031622777
1,0.9,1,0.031622777
1,0.9,1,0.031622777
1,0.9,1,0.031622777
1,0.883333333,1,0.031622777
1,0.883333333,7.12455532,0.031622777
1,0.9,1,0.031622777
1,0.866666667,1,0.031622777
1,0.9,1,0.031622777
1,0.866666667,1,0.031622777
1,0.883333333,1,0.031622777
1,0.883333333,1,0.031622777
1,0.9,1,0.031622777
1,0.883333333,1,0.031622777
1,0.9,1,0.031622777
1,0.866666667,1,0.031622777
1,0.866666667,7.12455532,0.031622777
1,0.9,7.12455532,0.031622777
1,0.883333333,1,0.031622777
1,0.916666667,1,0.031622777
1,0.9,1,0.031622777
1,0.9,1,0.031622777
1,0.9,1,0.031622777
1,0.883333333,1,0.031622777
1,0.916666667,7.12455532,0.031622777
1,0.866666667,7.12455532,0.031622777
1,0.9,1,0.031622777